epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,524.654,1.57536,3.70844,1.6931,0.01373,0.87132,0.1242,0.05987,1.58526,3.69569,1.6729,0.000216775,0.000216775,0.000216775
2,1005.83,1.58858,3.00124,1.66346,0.55613,0.20805,0.25527,0.12045,1.67907,3.16629,1.71422,0.000424618,0.000424618,0.000424618
3,1491.83,1.60396,2.70213,1.66797,0.38502,0.44628,0.35588,0.16829,1.73566,2.60527,1.79499,0.000617787,0.000617787,0.000617787
4,1971.93,1.63306,2.54378,1.70857,0.45701,0.40191,0.41052,0.19566,1.74312,2.54428,1.83401,0.000600967,0.000600967,0.000600967
5,2417.67,1.60803,2.30217,1.66186,0.50024,0.38741,0.4323,0.20399,1.77917,2.3218,1.84126,0.000578956,0.000578956,0.000578956
6,2862.02,1.59871,2.26049,1.63926,0.53071,0.4928,0.51852,0.24621,1.72476,2.1243,1.79735,0.000556945,0.000556945,0.000556945
7,3339.96,1.55483,2.03758,1.62385,0.53152,0.41956,0.45414,0.20691,1.74541,2.16565,1.7707,0.000534934,0.000534934,0.000534934
8,3876.33,1.56452,2.07137,1.63583,0.455,0.57324,0.5429,0.27601,1.68668,2.10171,1.74034,0.000512923,0.000512923,0.000512923
9,4552.82,1.57351,2.03661,1.621,0.4894,0.50555,0.50043,0.24834,1.74575,2.25521,1.79625,0.000490912,0.000490912,0.000490912
10,5239.24,1.52915,1.92186,1.5839,0.60693,0.56495,0.56954,0.28021,1.68567,1.92985,1.76061,0.000468901,0.000468901,0.000468901
